# Hebrew → English translations for the /en/ pages.
# Format: one pair per line, <Hebrew> TAB <English>. Lines starting with # are ignored.
# After changing any Hebrew text on the site, add/update its line here and run:
#     python _i18n/build_en.py
# The build fails and lists the text if anything Hebrew is left untranslated.
# Avoid double quotes (") in the English column – some strings are embedded in JSON-LD.

# ---------- Shared: brand, header, navigation, footer ----------
המעבדה	The Lab
חנות כשרה ומתקדמת עם 150 אפליקציות ומשחקים מובילים	Advanced kosher store with 150 leading apps and games
מנגנון בלעדי לחסימת וידאו בכל האפליקציות עם התקנת אפליקציות פתוחה	Exclusive video blocking in every app, with app installs left open
מנגנון חכם לתמיכה מלאה בהסרטות ללא וידאו	Smart full support for camera recordings, with video blocked
רדיו כשר בלעדי (תחנות חרדיות בלבד)	Exclusive kosher radio (Haredi stations only)
מנגנון זיהוי פנים מובנה בלעדי	Exclusive built-in face recognition
מנגנון בלעדי לפתיחת כל התכונות של איירפודס במכשיר	Exclusive unlocking of all AirPods features on the device
מנגנון בלעדי לשיתוף קבצים במהירות (בין מכשירי 'HPower')	Exclusive fast file sharing (between HPower devices)
מתקן כתובת בלוטוס מובנה	Built-in Bluetooth address fixer
מנגנון אבטחה בלעדי בעל שלוש שכבות הגנה ללא אפשרות פריצה או החלפת גירסה כלל	Exclusive three-layer security mechanism with no way to break in or swap the version
מנגנון ייחודי נגד פריצות	Unique anti-tamper mechanism
גרסה בהתאמה אישית	Custom version

# ---------- Products: comparison table ----------
השוואת דגמים	Compare models
בטבלה אחת	in one table
✓ קיים בדגם · — לא קיים בדגם. במסכים קטנים ניתן לגלול את הטבלה הצידה.	✓ Included · — Not included. On small screens you can scroll the table sideways.
מאפיין	Spec
מפרט	Specs
מחיר	Price
מלאי	Availability
מערכת הפעלה	Operating system
מעבד	Processor
עוצמתי	Powerful
חזק	Strong
ראם	RAM
אחסון	Storage
סוללה	Battery
מצלמה אחורית	Rear camera
מצלמה קדמית	Front camera
פנס	Flashlight
תכונות	Features
חנות כשרה	Kosher store
אפליקציות ומשחקים	Apps & games
חסימת וידאו חכמה אקטיבית	Active smart video blocking
תמיכה בהסרטות	Camera recording support
רדיו כשר	Kosher radio
זיהוי פנים מובנה	Built-in face recognition
תמיכה מובנית באיירפודס	Built-in AirPods support
שיתוף קבצים מהיר	Fast file sharing
מנגנון אבטחה הרמטי בעל שלוש שכבות הגנה	Airtight three-layer security
מנגנון נגד פריצות	Anti-tamper mechanism
קיים	Included
לא קיים	Not included
רוצים להזמין נגן?	Want to order a player?
השאירו פרטים ונחזור אליכם בהקדם.	Leave your details and we'll get back to you soon.

# ---------- Products: structured data ----------
נגן אנדרואיד כשר. אנדרואיד 13. מעבד עוצמתי. 3GB ראם | 32GB זיכרון אחסון. סוללה חזקה 2000 mAh. מצלמה אחורית 13MP | קדמית 5MP. פנס מובנה. תומך OTG. חנות כשרה ומתקדמת עם 300 אפליקציות ומשחקים מובילים. מנגנון בלעדי לחסימת וידאו בכל האפליקציות עם התקנת אפליקציות פתוחה. מנגנון חכם לתמיכה מלאה בהסרטות ללא וידאו. רדיו כשר בלעדי (תחנות חרדיות בלבד). מנגנון זיהוי פנים מובנה בלעדי. מנגנון בלעדי לפתיחת כל התכונות של איירפודס במכשיר. מנגנון בלעדי לשיתוף קבצים במהירות (בין מכשירי 'HPower'). מתקן כתובת בלוטוס מובנה. מנגנון אבטחה בלעדי בעל שלוש שכבות הגנה ללא אפשרות פריצה או החלפת גירסה כלל. גרסה בהתאמה אישית.	Kosher Android player. Android 13. Powerful processor. 3GB RAM | 32GB storage. Powerful 2000 mAh battery. Rear camera 13MP | front 5MP. Built-in flashlight. OTG support. Advanced kosher store with 300 leading apps and games. Exclusive video blocking in every app, with app installs left open. Smart full support for camera recordings, with video blocked. Exclusive kosher radio (Haredi stations only). Exclusive built-in face recognition. Exclusive unlocking of all AirPods features on the device. Exclusive fast file sharing (between HPower devices). Built-in Bluetooth address fixer. Exclusive three-layer security mechanism with no way to break in or swap the version. Custom version.
נגן אנדרואיד כשר. אנדרואיד 13. מעבד חזק. 3GB ראם | 16GB זיכרון אחסון. סוללה חזקה 2000 mAh. מצלמה אחורית 13MP | קדמית 5MP. תומך OTG. חנות כשרה ומתקדמת עם 150 אפליקציות ומשחקים מובילים. מנגנון בלעדי לחסימת וידאו בכל האפליקציות עם התקנת אפליקציות פתוחה. מנגנון חכם לתמיכה מלאה בהסרטות ללא וידאו. רדיו כשר בלעדי (תחנות חרדיות בלבד). מנגנון זיהוי פנים מובנה בלעדי. מנגנון בלעדי לפתיחת כל התכונות של איירפודס במכשיר. מנגנון בלעדי לשיתוף קבצים במהירות (בין מכשירי 'HPower'). מתקן כתובת בלוטוס מובנה. מנגנון ייחודי נגד פריצות. גרסה בהתאמה אישית.	Kosher Android player. Android 13. Strong processor. 3GB RAM | 16GB storage. Powerful 2000 mAh battery. Rear camera 13MP | front 5MP. OTG support. Advanced kosher store with 150 leading apps and games. Exclusive video blocking in every app, with app installs left open. Smart full support for camera recordings, with video blocked. Exclusive kosher radio (Haredi stations only). Exclusive built-in face recognition. Exclusive unlocking of all AirPods features on the device. Exclusive fast file sharing (between HPower devices). Built-in Bluetooth address fixer. Unique anti-tamper mechanism. Custom version.
נגן אנדרואיד כשר. אנדרואיד 10. מעבד עוצמתי. 2GB ראם | 16GB זיכרון אחסון. סוללה חזקה 2050 mAh. תומך OTG. חנות כשרה ומתקדמת עם 170 אפליקציות ומשחקים מובילים. מנגנון בלעדי לחסימת וידאו בכל האפליקציות עם התקנת אפליקציות פתוחה. מנגנון חכם לתמיכה מלאה בהסרטות ללא וידאו. רדיו כשר בלעדי (תחנות חרדיות בלבד). מנגנון בלעדי לשיתוף קבצים במהירות (בין מכשירי 'HPower'). מתקן כתובת בלוטוס מובנה. מנגנון ייחודי נגד פריצות. גרסה בהתאמה אישית.	Kosher Android player. Android 10. Powerful processor. 2GB RAM | 16GB storage. Powerful 2050 mAh battery. OTG support. Advanced kosher store with 170 leading apps and games. Exclusive video blocking in every app, with app installs left open. Smart full support for camera recordings, with video blocked. Exclusive kosher radio (Haredi stations only). Exclusive fast file sharing (between HPower devices). Built-in Bluetooth address fixer. Unique anti-tamper mechanism. Custom version.
נגן אנדרואיד כשר. אנדרואיד 13. מעבד חזק. 3GB ראם | 16GB זיכרון אחסון. סוללה חזקה 1950 mAh. עיצוב קומפקטי ונוח. חנות כשרה ומתקדמת עם 150 אפליקציות ומשחקים מובילים. מנגנון בלעדי לחסימת וידאו בכל האפליקציות עם התקנת אפליקציות פתוחה. מנגנון חכם לתמיכה מלאה בהסרטות ללא וידאו. רדיו כשר בלעדי (תחנות חרדיות בלבד). מנגנון בלעדי לפתיחת כל התכונות של איירפודס במכשיר. מנגנון בלעדי לשיתוף קבצים במהירות (בין מכשירי 'HPower'). מתקן כתובת בלוטוס מובנה. מנגנון ייחודי נגד פריצות. גרסה בהתאמה אישית.	Kosher Android player. Android 13. Strong processor. 3GB RAM | 16GB storage. Powerful 1950 mAh battery. Compact, comfortable design. Advanced kosher store with 150 leading apps and games. Exclusive video blocking in every app, with app installs left open. Smart full support for camera recordings, with video blocked. Exclusive kosher radio (Haredi stations only). Exclusive unlocking of all AirPods features on the device. Exclusive fast file sharing (between HPower devices). Built-in Bluetooth address fixer. Unique anti-tamper mechanism. Custom version.

# ---------- Downloads: meta + page ----------
הורדת אפליקציות כשרות וחסימות לאנדרואיד – VidBlocker, Kosher FM | המעבדה	Kosher apps and Android blocking tools – VidBlocker, Kosher FM | The Lab
מרכז ההורדות של המעבדה: VidBlocker לחסימת וידאו, רדיו כשר Kosher FM, גלריה חכמה Smart Gallery, System Guard נגד עקיפת חסימות MDM, ואפליקציות נוספות לאנדרואיד.	The Lab's download center: VidBlocker for video blocking, Kosher FM kosher radio, the Smart Gallery app, System Guard against MDM bypass, and more Android apps.
אפליקציות כשרות וחסימות לאנדרואיד | המעבדה	Kosher apps and Android blocking tools | The Lab
VidBlocker, Kosher FM, Smart Gallery, System Guard ועוד – אפליקציות וחסימות שפותחו במעבדה.	VidBlocker, Kosher FM, Smart Gallery, System Guard and more – apps and blocking tools developed at The Lab.
אפליקציות כשרות וחסימות לאנדרואיד	Kosher apps and Android blocking tools
אפליקציות כשרות	Kosher apps
וחסימות לאנדרואיד	and Android blocking tools
חסימת וידאו באנדרואיד	Android video blocking
סינון MDM	MDM filtering
כל הכלים והאפליקציות פותחו במעבדה, נבדקו ואומתו – עם דגש על הטכנולוגיה המתקדמת ביותר, הגנה מקסימלית וחוויית משתמש נקייה.	Every tool and app was developed at The Lab, tested and verified – with a focus on cutting-edge technology, maximum protection and a clean user experience.
סינון אפליקציות	Filter apps
הכל	All
חינם	Free
חינם (מוגבל)	Free (limited)
בתשלום	Paid
בתשלום*	Paid*
רשימת האפליקציות	App list
בלעדי	Exclusive
גרסה	Version
מידע נוסף	More info
הורדה	Download
לפרטים ורכישה	Details & purchase
* האפליקציות והשירותים בתשלום אינם זמינים לרכישה בנפרד, אלא כחלק מגרסאות ומדגמים נבחרים בלבד.	* Paid apps and services can't be bought separately – only as part of selected versions and models.
צריכים חסימה או גרסה בהתאמה אישית?	Need a custom blocking setup or version?
אנחנו מפתחים אפליקציות, חסימות וגרסאות אנדרואיד לפי הדרישות שלכם.	We develop apps, blocking tools and Android versions to your requirements.
ספרו לנו מה צריך	Tell us what you need

# ---------- Downloads: app descriptions ----------
אפליקציה מתקדמת לביטול נעילת המכשיר באמצעות זיהוי פנים. תומכת במכשירים ללא זיהוי פנים מובנה – ללא אינטרנט וללא רוט.	An advanced app for unlocking your device with face recognition. Works on devices without built-in face unlock – no internet and no root.
אפליקציית סינון וחסימת מכשירים עם שליטה מלאה בתכונות ובהגדרות המכשיר ובתעבורת הרשת. כוללת רשימה לבנה של אפליקציות, חסימת פרסומות, דפדפנים פנימיים, סטטוסים וערוצים.	A device filtering and blocking app with full control over device features, settings and network traffic. Includes an app whitelist and blocking of ads, in-app browsers, statuses and channels.
חנות אפליקציות אופליין מתקדמת, עם תמיכה בהרחבות חיצוניות, גיבוי ושחזור נתונים, שליטה מלאה בתצוגה ומנוע חיפוש מתקדם. התקנה אוטומטית ומהירה ללא שימוש במתקין החבילות של המכשיר.	An advanced offline app store with support for external extensions, data backup and restore, full display control and an advanced search engine. Fast automatic installs without using the device's package installer.
אפליקציה ייחודית להעברת קבצים ותיקיות במהירות גבוהה בין מכשירים – ללא אינטרנט כלל.	A unique app for transferring files and folders at high speed between devices – no internet at all.
רדיו כשר אופליין. האפליקציה מאפשרת האזנה רק לתחנות החרדיות הנבחרות, ללא צורך בחיבור לאינטרנט. כולל תמיכה בבלוטות', ברמקול חיצוני ובהקלטה.	Offline kosher radio. The app lets you listen only to selected Haredi stations, with no internet connection needed. Includes Bluetooth, external speaker and recording support.
